P,E_star,I_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real_eig,stable
6.04,0.4985534000954985,0.45473728849851563,-1.9265512051860008,0.0,-1.054765014363286,0.0,-1.054765014363286,True
6.08,0.4986382884219042,0.454783924303663,-1.9309718855505384,0.0,-1.0531831864554368,0.0,-1.0531831864554368,True
6.12,0.4987181601682806,0.45482776892806676,-1.9351173372899435,0.0,-1.0517104807694753,0.0,-1.0517104807694753,True
6.16,0.49879331576203756,0.45486899354165794,-1.939005890353723,0.0,-1.0503383269164006,0.0,-1.0503383269164006,True
6.2,0.4988640371950006,0.45490775835347125,-1.9426544917995465,0.0,-1.0490589597038882,0.0,-1.0490589597038882,True
6.24,0.4989305892037774,0.45494421336509316,-1.9460788328705603,0.0,-1.047865326686983,0.0,-1.047865326686983,True
6.28,0.4989932203692476,0.4549784990667343,-1.9492934611671202,0.0,-1.046751008508578,0.0,-1.046751008508578,True
6.32,0.4990521641412611,0.4550107470808776,-1.9523118801158659,0.0,-1.0457101499590473,0.0,-1.0457101499590473,True
6.36,0.49910763979414,0.4550410807579644,-1.95514663754841,0.0,-1.0447374000667107,0.0,-1.0447374000667107,True
6.4,0.49915985331808704,0.4550696157281535,-1.9578094048906811,0.0,-1.043827859834149,0.0,-1.043827859834149,True
6.44,0.49920899825120124,0.45509646041280094,-1.960311048214349,0.0,-1.0429770364776798,0.0,-1.0429770364776798,True
6.48,0.49925525645640845,0.4551217164989664,-1.9626616921998123,0.0,-1.0421808032222242,0.0,-1.0421808032222242,True
6.5200000000000005,0.49929879884726475,0.45514547937994043,-1.9648707778962213,0.0,-1.0414353638614096,0.0,-1.0414353638614096,True
6.5600000000000005,0.4993397860662813,0.455167838564518,-1.9669471150295212,0.0,-1.0407372214210777,0.0,-1.0407372214210777,True
6.6000000000000005,0.4993783691191256,0.45518887805748853,-1.9688989294989008,0.0,-1.040083150369325,0.0,-1.040083150369325,True
6.640000000000001,0.4994146899677928,0.4552086767136,-1.9707339066103364,0.0,-1.0394701719025363,0.0,-1.0394701719025363,True
6.68,0.4994488820856027,0.4552273085670489,-1.9724592305196265,0.0,-1.0388955319082114,0.0,-1.0388955319082114,True
6.72,0.4994810709766581,0.45524484313837127,-1.9740816202934193,0.0,-1.038356681264603,0.0,-1.038356681264603,True
6.76,0.4995113746622001,0.4552613457204474,-1.9756073629430002,0.0,-1.0378512581865813,0.0,-1.0378512581865813,True
6.8,0.49953990413611227,0.4552768776451877,-1.9770423437401874,0.0,-1.0373770723684774,0.0,-1.0373770723684774,True
6.84,0.4995667637916583,0.45529149653233153,-1.978392074086145,0.0,-1.0369320907094222,0.0,-1.0369320907094222,True
6.88,0.499592051821383,0.4553052565216758,-1.979661717171016,0.0,-1.036514424436016,0.0,-1.036514424436016,True
6.92,0.49961586060423224,0.4553182084880127,-1.9808561116393602,0.0,-1.0361223174589163,0.0,-1.0361223174589163,True
